species,treatment,plantid,Notes
carex,CTL,204,
carex,CTL,206,
carex,CTL,208,
carex,CTL,209,
carex,CTL,212,
carex,CTL,217,
saxifraga,CTL,235,
saxifraga,CTL,236,
saxifraga,CTL,237,
saxifraga,CTL,241,
oxytropis,CTL,260,
oxytropis,CTL,266,
oxytropis,CTL,269,
oxytropis,CTL,270,
oxytropis,CTL,272,
oxytropis,CTL,273,
oxytropis,CTL,274,
oxytropis,CTL,275,
oxytropis,CTL,276,
carex,CTL,303,
carex,CTL,304,
carex,CTL,305,
carex,CTL,307,
carex,CTL,308,
carex,CTL,309,
carex,CTL,310,
carex,CTL,313,
carex,CTL,314,
carex,CTL,315,
carex,CTL,316,
carex,CTL,319,"missing 2010, 2012"
oxytropis,CTL,10a,
saxifraga,CTL,10a,
saxifraga,CTL,13a,
saxifraga,CTL,16a,
oxytropis,CTL,261a,new plant
eriophorum,CTL,3a,
betula,CTL,NA,
saxifraga,CTL,NA,
salix,CTL,NA,
oxytropis,CTL,NA,
